"sites" "variable" "age" "mean" "lenghth" "se"
"178" "MNIVA" "Poaceae" 200 242.646200793699 7 84.3144237440659
"179" "PRASILSKE" "Poaceae" 200 838.15046588659 18 127.360007778918
"180" "RIBNO" "Poaceae" 200 115.347940948931 3 8.26640675624791
"181" "ROUGE" "Poaceae" 200 848.315709319166 16 69.3793087291682
"182" "SAEGIST" "Poaceae" 200 1549.56051840547 65 41.8253891520075
"183" "SUMINKO" "Poaceae" 200 912.653811866847 24 63.6348721652574
"184" "SUOVAL" "Poaceae" 200 9.12475195098514 2 0.225411676878345
"185" "TOSACJQS" "Poaceae" 200 9.9212038 10 1.44871869599615
"186" "TSOULACC" "Poaceae" 200 21.516475 6 2.68817329336826
"187" "VOULK" "Poaceae" 200 282.096266306793 1 0
"188" "ABBO" "Quercus" 200 3.30604379644062 8 0.991791400897621
"189" "AKUV" "Quercus" 200 1.42938822184105 2 1.42938822184105
"190" "BACHALP" "Quercus" 200 30.4255723860612 61 3.07886388432156
"191" "BRUN" "Quercus" 200 0 1 0
"192" "HOLT" "Quercus" 200 12.5594795729616 7 2.18778848097763
"193" "KLOT" "Quercus" 200 9.66985597940906 8 2.74939301844946
"194" "MNIVA" "Quercus" 200 201.133053582996 7 86.2189142850079
"195" "PRASILSKE" "Quercus" 200 272.494751423759 18 40.4377581094094
"196" "RIBNO" "Quercus" 200 143.871003075825 3 50.5269167009411
"197" "ROUGE" "Quercus" 200 92.0509507632106 16 16.4118267320241
"198" "SAEGIST" "Quercus" 200 41.8672245911581 65 3.81414134385772
"199" "SUMINKO" "Quercus" 200 521.831642335639 24 64.2650400649507
"200" "SUOVAL" "Quercus" 200 0 2 0
"201" "TOSACJQS" "Quercus" 200 0.04267479 10 0.04267479
"202" "TSOULACC" "Quercus" 200 0 6 0
"203" "VOULK" "Quercus" 200 915.245664017594 1 0
"204" "ABBO" "Tilia" 200 0 8 0
"205" "AKUV" "Tilia" 200 0 2 0
"206" "BACHALP" "Tilia" 200 10.9466174548551 61 1.81792116905859
"207" "BRUN" "Tilia" 200 0 1 0
"208" "HOLT" "Tilia" 200 0 7 0
"209" "KLOT" "Tilia" 200 3.16375965908504 8 3.16375965908504
"210" "MNIVA" "Tilia" 200 9.05592259648363 7 9.05592259648363
"211" "PRASILSKE" "Tilia" 200 59.9233839927859 18 13.778627105689
"212" "RIBNO" "Tilia" 200 4.97798529733752 3 2.52916956576454
"213" "ROUGE" "Tilia" 200 9.70868430615309 16 2.74403296314118
"214" "SAEGIST" "Tilia" 200 4.63970159530133 65 1.05941526256471
"215" "SUMINKO" "Tilia" 200 18.7363655157087 24 4.01918704882094
"216" "SUOVAL" "Tilia" 200 0 2 0
"217" "TOSACJQS" "Tilia" 200 0.04267479 10 0.04267479
"218" "TSOULACC" "Tilia" 200 0 6 0
"219" "VOULK" "Tilia" 200 0 1 0
"220" "ABBO" "total_concetration" 750 4577.9826617214 4 359.53883261542
"221" "AKUV" "total_concetration" 750 2042.04204204205 1 0
"222" "BACHALP" "total_concetration" 750 1837.84724754301 5 189.595735470048
"223" "BRUN" "total_concetration" 750 460.773777538957 1 0
"224" "HOLT" "total_concetration" 750 6340.47226315126 4 303.930669863784
"225" "KLOT" "total_concetration" 750 6564.39608800204 4 1410.0780133029
"226" "MNIVA" "total_concetration" 750 5375.65285154533 4 1384.94165671256
"227" "PRASILSKE" "total_concetration" 750 4262.22368562847 9 253.630167337578
"228" "RIBNO" "total_concetration" 750 2970.66648650598 3 549.345211950884
"229" "ROUGE" "total_concetration" 750 18024.6235664723 11 1269.13582154293
"230" "SAEGIST" "total_concetration" 750 1659.23270070038 8 159.361462946365
"231" "SHABLA" "total_concetration" 750 2238.96572104019 1 0
"232" "SUMINKO" "total_concetration" 750 30268.0871910145 20 2339.56239523225
"233" "SUOVAL" "total_concetration" 750 767.129005205656 1 0
"234" "TOSACJQS" "total_concetration" 750 238.796357725 8 24.7516164160754
"235" "TSOULACC" "total_concetration" 750 410.60256275 6 18.1604565597114
"236" "VOULK" "total_concetration" 750 3611.77167466144 6 892.695227028488
"237" "BACHALP" "Abies" 750 102.2761218878 5 18.4321955739469
"238" "MNIVA" "Abies" 750 1122.81162638895 4 304.379973396269
"239" "PRASILSKE" "Abies" 750 475.322111009882 9 43.9069903885273
"240" "RIBNO" "Abies" 750 187.962429823906 3 18.0625690936352
"241" "SAEGIST" "Abies" 750 92.1289858124673 8 23.8600156302485
"242" "SHABLA" "Abies" 750 0 1 0
"243" "SUMINKO" "Abies" 750 12.2770329806761 20 4.37627078145582
"244" "TOSACJQS" "Abies" 750 0 8 0
"245" "TSOULACC" "Abies" 750 0 6 0
"246" "VOULK" "Abies" 750 18.4637690274282 6 4.77203157893947
"247" "ABBO" "Alnus" 750 135.315532899441 4 13.4069714036008
"248" "AKUV" "Alnus" 750 8.58000858000858 1 0
"249" "BACHALP" "Alnus" 750 94.6107767770356 5 30.169659007214
"250" "BRUN" "Alnus" 750 14.7770016120365 1 0
"251" "HOLT" "Alnus" 750 213.160757380815 4 27.2952067291671
"252" "KLOT" "Alnus" 750 443.214901885203 4 115.536736085904
"253" "MNIVA" "Alnus" 750 198.743739608277 4 123.366393279767
"254" "PRASILSKE" "Alnus" 750 271.206536100332 9 25.9007060179112
"255" "RIBNO" "Alnus" 750 153.429242574457 3 66.2106111932676
"256" "ROUGE" "Alnus" 750 3130.59173624865 11 265.569934592099
"257" "SAEGIST" "Alnus" 750 190.355073249086 8 38.9922776266462
"258" "SHABLA" "Alnus" 750 135.322104018913 1 0
"259" "SUMINKO" "Alnus" 750 3065.1608021788 20 266.336695181057
"260" "SUOVAL" "Alnus" 750 1.93231487457344 1 0
"261" "TOSACJQS" "Alnus" 750 2.549831175 8 0.915478293461828
"262" "TSOULACC" "Alnus" 750 3.87826416666667 6 0.659773868478659
"263" "VOULK" "Alnus" 750 62.9816178661201 6 17.6582887203219
"264" "ABBO" "Betula" 750 881.43437359066 4 75.3538351131283
"265" "AKUV" "Betula" 750 709.280709280709 1 0
"266" "BACHALP" "Betula" 750 40.2385549772347 5 19.3966217514601
"267" "BRUN" "Betula" 750 216.281569048898 1 0
"268" "HOLT" "Betula" 750 1766.83188003683 4 165.54255472722
"269" "KLOT" "Betula" 750 1487.43708871467 4 238.464891750831
"270" "MNIVA" "Betula" 750 311.797570509049 4 63.5179956220769
"271" "PRASILSKE" "Betula" 750 530.613650772103 9 60.9555836356287
"272" "RIBNO" "Betula" 750 46.0632190038038 3 12.8910310502578
"273" "ROUGE" "Betula" 750 5911.88667282828 11 530.42833610044
"274" "SAEGIST" "Betula" 750 85.0538591737244 8 6.32789036597739
"275" "SHABLA" "Betula" 750 147.624113475177 1 0
"276" "SUMINKO" "Betula" 750 9685.17741023741 20 970.359882365529
"277" "SUOVAL" "Betula" 750 311.102694806324 1 0
"278" "TOSACJQS" "Betula" 750 92.4545 8 5.64623328355728
"279" "TSOULACC" "Betula" 750 201.209316666667 6 8.46827495331514
"280" "VOULK" "Betula" 750 9.30630219355357 6 4.4797563804236
"281" "ABBO" "Carpinus" 750 0.827276401408765 4 0.827276401408765
"282" "HOLT" "Carpinus" 750 4.71488170681946 4 0.489084834201109
