"taxon" "map" "trap" "dist"
"180" "Abies" "nearestAbies_alba_EUFORGEN" "UK/HP/CC7" 548809
"181" "Abies" "nearestAbies_alba_EUFORGEN" "UK/HP/CC6" 548013
"182" "Abies" "nearestAbies_alba_EUFORGEN" "UK/HP/CC5" 548013
"183" "Abies" "nearestAbies_alba_EUFORGEN" "UK/HP/CC4" 547989
"184" "Abies" "nearestAbies_alba_EUFORGEN" "UK/HP/CC3" 547989
"185" "Abies" "nearestAbies_alba_EUFORGEN" "UK/HP/CC2" 548540
"186" "Abies" "nearestAbies_alba_EUFORGEN" "UK/HP/CC1" 548540
"187" "Abies" "nearestAbies_alba_EUFORGEN" "UK/HT/HW5" 321516
"188" "Abies" "nearestAbies_alba_EUFORGEN" "UK/HT/HW4" 321516
"189" "Abies" "nearestAbies_alba_EUFORGEN" "UK/HT/HW3" 321516
"190" "Abies" "nearestAbies_alba_EUFORGEN" "UK/HT/HW2" 321516
"191" "Abies" "nearestAbies_alba_EUFORGEN" "UK/HT/HW1" 321516
"192" "Abies" "nearestAbies_alba_EUFORGEN" "PL/IP/G9" 0
"193" "Abies" "nearestAbies_alba_EUFORGEN" "PL/IP/G8" 0
"194" "Abies" "nearestAbies_alba_EUFORGEN" "PL/IP/G7" 0
"195" "Abies" "nearestAbies_alba_EUFORGEN" "PL/IP/G6" 0
"196" "Abies" "nearestAbies_alba_EUFORGEN" "PL/IP/G5" 0
"197" "Abies" "nearestAbies_alba_EUFORGEN" "PL/IP/G4" 0
"198" "Abies" "nearestAbies_alba_EUFORGEN" "PL/IP/G3" 0
"199" "Abies" "nearestAbies_alba_EUFORGEN" "PL/IP/G2" 0
"200" "Abies" "nearestAbies_alba_EUFORGEN" "PL/IP/G1" 0
"201" "Abies" "nearestAbies_alba_EUFORGEN" "CZE/HSS/KR16" 0
"202" "Abies" "nearestAbies_alba_EUFORGEN" "CZE/HSS/KR17" 0
"203" "Abies" "nearestAbies_alba_EUFORGEN" "CZE/HSS/KR19" 0
"204" "Abies" "nearestAbies_alba_EUFORGEN" "CZE/HSS/KR12" 0
"205" "Abies" "nearestAbies_alba_EUFORGEN" "CZE/HSS/KR15" 0
"206" "Abies" "nearestAbies_alba_EUFORGEN" "CZE/HSS/KR14" 0
"207" "Abies" "nearestAbies_alba_EUFORGEN" "CZE/HSS/KR18" 0
"208" "Abies" "nearestAbies_alba_EUFORGEN" "CZE/HSS/KR7" 0
"209" "Abies" "nearestAbies_alba_EUFORGEN" "CZE/HSS/KR9" 0
"210" "Abies" "nearestAbies_alba_EUFORGEN" "CZE/HSS/KR13" 0
"211" "Abies" "nearestAbies_alba_EUFORGEN" "CZE/HSS/KR6" 0
"212" "Abies" "nearestAbies_alba_EUFORGEN" "CZE/HSS/KR11" 0
"213" "Abies" "nearestAbies_alba_EUFORGEN" "CZE/HSS/KR10" 0
"214" "Abies" "nearestAbies_alba_EUFORGEN" "CZE/HSS/KR8" 0
"215" "Abies" "nearestAbies_alba_EUFORGEN" "CZE/HSS/KR4" 0
"216" "Abies" "nearestAbies_alba_EUFORGEN" "CZE/HSS/KR5" 0
"217" "Abies" "nearestAbies_alba_EUFORGEN" "CZE/HSS/KR3" 0
"218" "Abies" "nearestAbies_alba_EUFORGEN" "CZE/HSS/KR2" 0
"219" "Abies" "nearestAbies_alba_EUFORGEN" "CZE/HSS/KR1" 0
"220" "Abies" "nearestAbies_alba_EUFORGEN" "CZE/HSS/SA16" 0
"221" "Abies" "nearestAbies_alba_EUFORGEN" "CZE/HSS/SA10" 0
"222" "Abies" "nearestAbies_alba_EUFORGEN" "CZE/HSS/SA17" 0
"223" "Abies" "nearestAbies_alba_EUFORGEN" "CZE/HSS/SA14" 0
"224" "Abies" "nearestAbies_alba_EUFORGEN" "CZE/HSS/SA18" 0
"225" "Abies" "nearestAbies_alba_EUFORGEN" "CZE/HSS/SA15" 0
"226" "Abies" "nearestAbies_alba_EUFORGEN" "CZE/HSS/SA12" 0
"227" "Abies" "nearestAbies_alba_EUFORGEN" "CZE/HSS/SA11" 0
"228" "Abies" "nearestAbies_alba_EUFORGEN" "CZE/HSS/SA9" 0
"229" "Abies" "nearestAbies_alba_EUFORGEN" "CZE/HSS/SA8" 0
"230" "Abies" "nearestAbies_alba_EUFORGEN" "CZE/HSS/SA3" 0
"231" "Abies" "nearestAbies_alba_EUFORGEN" "CZE/HSS/SA5" 0
"232" "Abies" "nearestAbies_alba_EUFORGEN" "CZE/HSS/SA13" 0
"233" "Abies" "nearestAbies_alba_EUFORGEN" "CZE/HSS/SA2" 0
"234" "Abies" "nearestAbies_alba_EUFORGEN" "CZE/HSS/SA7" 0
"235" "Abies" "nearestAbies_alba_EUFORGEN" "CZE/HSS/SA4" 0
"236" "Abies" "nearestAbies_alba_EUFORGEN" "CZE/HSS/SA6" 0
"237" "Abies" "nearestAbies_alba_EUFORGEN" "CZE/HSS/SA1" 0
"238" "Abies" "nearestAbies_alba_EUFORGEN" "HUN/EM/SOM-1" 79918
"239" "Abies" "nearestAbies_alba_EUFORGEN" "HUN/EM/KM-2" 80833
"240" "Abies" "nearestAbies_alba_EUFORGEN" "HUN/EM/ET-4" 83415
"241" "Abies" "nearestAbies_alba_EUFORGEN" "HUN/EM/HAL-9" 96309
"242" "Abies" "nearestAbies_alba_EUFORGEN" "HUN/EM/CSIK-11" 92994
"243" "Abies" "nearestAbies_alba_EUFORGEN" "HUN/EM/ORR-12" 13756
"244" "Abies" "nearestAbies_alba_EUFORGEN" "HUN/EM/APV-14" 12778
"245" "Abies" "nearestAbies_alba_EUFORGEN" "HUN/EM/CSOR-15" 13019
"246" "Abies" "nearestAbies_alba_EUFORGEN" "CH/WVDK/Z5" 10151
"247" "Abies" "nearestAbies_alba_EUFORGEN" "CH/WVDK/Z4" 10271
"248" "Abies" "nearestAbies_alba_EUFORGEN" "CH/WVDK/Z3" 10880
"249" "Abies" "nearestAbies_alba_EUFORGEN" "CH/WVDK/Z2" 11376
"250" "Abies" "nearestAbies_alba_EUFORGEN" "CH/WVDK/Z1" 10613
"251" "Abies" "nearestAbies_alba_EUFORGEN" "CH/WVDK/S5" 4060
"252" "Abies" "nearestAbies_alba_EUFORGEN" "CH/WVDK/S4" 3125
"253" "Abies" "nearestAbies_alba_EUFORGEN" "CH/WVDK/S3" 3350
"254" "Abies" "nearestAbies_alba_EUFORGEN" "CH/WVDK/S2" 3559
"255" "Abies" "nearestAbies_alba_EUFORGEN" "CH/WVDK/S1c" 3997
"256" "Abies" "nearestAbies_alba_EUFORGEN" "CH/WVDK/S1b" 4013
"257" "Abies" "nearestAbies_alba_EUFORGEN" "CH/WVDK/S1a" 4090
"258" "Abies" "nearestAbies_alba_EUFORGEN" "CH/WVDK/R6" 10940
"259" "Abies" "nearestAbies_alba_EUFORGEN" "CH/WVDK/R5" 11015
"260" "Abies" "nearestAbies_alba_EUFORGEN" "CH/WVDK/R4" 11017
"261" "Abies" "nearestAbies_alba_EUFORGEN" "CH/WVDK/R3" 11272
"262" "Abies" "nearestAbies_alba_EUFORGEN" "CH/WVDK/R2" 11154
"263" "Abies" "nearestAbies_alba_EUFORGEN" "CH/WVDK/F2" 9841
"264" "Abies" "nearestAbies_alba_EUFORGEN" "CH/WVDK/F1" 9841
"265" "Abies" "nearestAbies_alba_EUFORGEN" "CH/WVDK/SAG" 0
"266" "Abies" "nearestAbies_alba_EUFORGEN" "CH/WVDK/R5-b" 11015
"267" "Abies" "nearestAbies_alba_EUFORGEN" "CH/WVDK/R5-a" 11015
"268" "Abies" "nearestAbies_alba_EUFORGEN" "CH/WVDK/M5" 0
"269" "Abies" "nearestAbies_alba_EUFORGEN" "CH/WVDK/M4" 0
"270" "Abies" "nearestAbies_alba_EUFORGEN" "CH/WVDK/M3" 0
"271" "Abies" "nearestAbies_alba_EUFORGEN" "CH/WVDK/M2" 0
"272" "Abies" "nearestAbies_alba_EUFORGEN" "CH/WVDK/M1" 0
"273" "Abies" "nearestAbies_alba_EUFORGEN" "CH/WVDK/HIN" 0
"274" "Abies" "nearestAbies_alba_EUFORGEN" "CH/WVDK/HAG" 0
"275" "Abies" "nearestAbies_alba_EUFORGEN" "CH/WVDK/G15" 0
"276" "Abies" "nearestAbies_alba_EUFORGEN" "CH/WVDK/G14" 0
"277" "Abies" "nearestAbies_alba_EUFORGEN" "CH/WVDK/G13b" 0
"278" "Abies" "nearestAbies_alba_EUFORGEN" "CH/WVDK/G13" 0
"279" "Abies" "nearestAbies_alba_EUFORGEN" "CH/WVDK/G12B" 0
"280" "Abies" "nearestAbies_alba_EUFORGEN" "CH/WVDK/G12A" 0
"281" "Abies" "nearestAbies_alba_EUFORGEN" "CH/WVDK/G12" 0
"282" "Abies" "nearestAbies_alba_EUFORGEN" "CH/WVDK/G10" 0
"283" "Abies" "nearestAbies_alba_EUFORGEN" "CH/WVDK/G08-b" 0
"284" "Abies" "nearestAbies_alba_EUFORGEN" "CH/WVDK/G08-a" 0
"285" "Abies" "nearestAbies_alba_EUFORGEN" "CH/WVDK/G08" 0
"286" "Abies" "nearestAbies_alba_EUFORGEN" "CH/WVDK/G07-b" 0
"287" "Abies" "nearestAbies_alba_EUFORGEN" "CH/WVDK/G07-a" 0
"288" "Abies" "nearestAbies_alba_EUFORGEN" "CH/WVDK/G07" 0
"289" "Abies" "nearestAbies_alba_EUFORGEN" "CH/WVDK/G06b" 0
"290" "Abies" "nearestAbies_alba_EUFORGEN" "CH/WVDK/G06" 0
"291" "Abies" "nearestAbies_alba_EUFORGEN" "CH/WVDK/G01" 0
"292" "Abies" "nearestAbies_alba_EUFORGEN" "CH/WVDK/A5" 11740
"293" "Abies" "nearestAbies_alba_EUFORGEN" "CH/WVDK/A4" 11410
"294" "Abies" "nearestAbies_alba_EUFORGEN" "CH/WVDK/A3" 11526
"295" "Abies" "nearestAbies_alba_EUFORGEN" "CH/WVDK/A2" 11820
"296" "Abies" "nearestAbies_alba_EUFORGEN" "CH/WVDK/A1" 11900
"297" "Abies" "nearestAbies_alba_EUFORGEN" "CH/WVDK/A0" 11807
"298" "Abies" "nearestAbies_alba_EUFORGEN" "BUL/MF/16" 136789
"299" "Abies" "nearestAbies_alba_EUFORGEN" "BUL/MF/12" 53895
"300" "Abies" "nearestAbies_alba_EUFORGEN" "BUL/MF/11" 50248
"301" "Abies" "nearestAbies_alba_EUFORGEN" "BUL/MF/05" 140996
"302" "Abies" "nearestAbies_alba_EUFORGEN" "BUL/MF/04" 203406
"303" "Abies" "nearestAbies_alba_EUFORGEN" "BUL/MF/03" 204209
"304" "Abies" "nearestAbies_alba_EUFORGEN" "BUL/MF/02" 189862
"305" "Abies" "nearestAbies_alba_EUFORGEN" "BUL/MF/01" 188525
"306" "Abies" "nearestAbies_alba_EUFORGEN" "BUL/MF/10" 163662
"307" "Abies" "nearestAbies_alba_EUFORGEN" "BUL/MF/09" 159016
"308" "Abies" "nearestAbies_alba_EUFORGEN" "BUL/MF/08" 165181
"309" "Abies" "nearestAbies_alba_EUFORGEN" "BUL/MF/07" 164368
"310" "Abies" "nearestAbies_alba_EUFORGEN" "TR/NKK/SF3" 168877
"311" "Abies" "nearestAbies_alba_EUFORGEN" "TR/NKK/SF2" 168920
"312" "Abies" "nearestAbies_alba_EUFORGEN" "TR/NKK/SF1" 168876
"313" "Abies" "nearestAbies_alba_EUFORGEN" "TR/NKK/MF3" 176034
"314" "Abies" "nearestAbies_alba_EUFORGEN" "TR/NKK/MF2" 176010
"315" "Abies" "nearestAbies_alba_EUFORGEN" "TR/NKK/MF1" 172573
"316" "Abies" "nearestAbies_alba_EUFORGEN" "TR/NKK/BF6" 314956
"317" "Abies" "nearestAbies_alba_EUFORGEN" "TR/NKK/BF5" 314969
"318" "Abies" "nearestAbies_alba_EUFORGEN" "TR/NKK/BF4" 314928
"319" "Abies" "nearestAbies_alba_EUFORGEN" "TR/NKK/BF3" 251185
"320" "Abies" "nearestAbies_alba_EUFORGEN" "TR/NKK/BF2" 251130
"321" "Abies" "nearestAbies_alba_EUFORGEN" "TR/NKK/BF1" 251089
"322" "Abies" "nearestAbies_alba_EUFORGEN" "BUL/EB/BRL4" 0
"323" "Abies" "nearestAbies_alba_EUFORGEN" "BUL/EB/BRL3" 0
"324" "Abies" "nearestAbies_alba_EUFORGEN" "BUL/EB/BRL2" 0
"325" "Abies" "nearestAbies_alba_EUFORGEN" "GEOR/EK/T10" 1604256
"326" "Abies" "nearestAbies_alba_EUFORGEN" "GEOR/EK/T9" 1608430
"327" "Abies" "nearestAbies_alba_EUFORGEN" "GEOR/EK/T8" 1607848
"328" "Abies" "nearestAbies_alba_EUFORGEN" "GEOR/EK/T7" 1606498
